PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
112_large,"exp (33, 5-1.JPG)",left,b,left,C,383,incongruent,4,5_1,
112_large,"exp (56, 7-9.JPG)",right,n,right,C,385,congruent,2,7_9,large pairs
112_large,"exp (49, 7-1.JPG)",left,b,left,C,394,incongruent,6,7_1,
112_large,"exp (28, 4-5.JPG)",right,n,right,C,401,congruent,1,4_5,
112_large,"exp (39, 5-8.JPG)",right,n,right,C,413,congruent,3,5_8,
112_large,"exp (62, 8-6.JPG)",left,b,left,C,419,incongruent,2,8_6,large pairs
112_large,"exp (7, 1-8.JPG)",right,n,right,C,431,congruent,7,1_8,
112_large,"exp (69, 9-5.JPG)",left,b,left,C,432,incongruent,4,9_5,
112_large,"exp (6, 1-7.JPG)",right,n,right,C,440,congruent,6,1_7,
112_large,"exp (13, 2-6.JPG)",right,n,right,C,441,congruent,4,2_6,
112_large,"exp (16, 2-9.JPG)",right,n,right,C,442,congruent,7,2_9,
112_large,"exp (59, 8-3.JPG)",left,b,left,C,443,incongruent,5,8_3,
112_large,"exp (41, 6-1.JPG)",left,b,left,C,445,incongruent,5,6_1,
112_large,"exp (17, 3-1.JPG)",left,b,left,C,448,incongruent,2,3_1,small pairs
112_large,"exp (56, 7-9.JPG)",right,n,right,C,448,congruent,2,7_9,large pairs
112_large,"exp (60, 8-4.JPG)",left,b,left,C,453,incongruent,4,8_4,
112_large,"exp (20, 3-5.JPG)",right,n,right,C,454,congruent,2,3_5,
112_large,"exp (67, 9-3.JPG)",left,b,left,C,454,incongruent,6,9_3,
112_large,"exp (49, 7-1.JPG)",left,b,left,C,455,incongruent,6,7_1,
112_large,"exp (24, 3-9.JPG)",right,n,right,C,456,congruent,6,3_9,
112_large,"exp (9, 2-1.JPG)",left,b,left,C,456,incongruent,1,2_1,small pairs
112_large,"exp (42, 6-2.JPG)",left,b,left,C,456,incongruent,4,6_2,
112_large,"exp (54, 7-6.JPG)",left,b,left,C,457,incongruent,1,7_6,large pairs
112_large,"exp (14, 2-7.JPG)",right,n,right,C,461,congruent,5,2_7,
112_large,"exp (68, 9-4.JPG)",left,b,left,C,463,incongruent,5,9_4,
112_large,"exp (4, 1-5.JPG)",right,n,right,C,463,congruent,4,1_5,
