PartName,Event,Response,Key,Correct_R,Error_Code,RT,congruency,distance,pairs,size
57_small,"exp (41, 6-1.JPG)",right,n,right,C,350,incongruent,5,6_1,
57_small,"exp (3, 1-4.JPG)",left,b,left,C,351,congruent,3,1_4,small pairs
57_small,"exp (18, 3-2.JPG)",right,n,right,C,354,incongruent,1,3_2,small pairs
57_small,"exp (2, 1-3.JPG)",left,b,left,C,359,congruent,2,1_3,small pairs
57_small,"exp (1, 1-2.JPG)",left,b,left,C,360,congruent,1,1_2,small pairs
57_small,"exp (57, 8-1.JPG)",right,n,right,C,368,incongruent,7,8_1,
57_small,"exp (20, 3-5.JPG)",left,b,left,C,378,congruent,2,3_5,
57_small,"exp (16, 2-9.JPG)",left,b,left,C,380,congruent,7,2_9,
57_small,"exp (4, 1-5.JPG)",left,b,left,C,381,congruent,4,1_5,
57_small,"exp (4, 1-5.JPG)",left,b,left,C,381,congruent,4,1_5,
57_small,"exp (4, 1-5.JPG)",left,b,left,C,384,congruent,4,1_5,
57_small,"exp (60, 8-4.JPG)",right,n,right,C,385,incongruent,4,8_4,
57_small,"exp (33, 5-1.JPG)",right,n,right,C,386,incongruent,4,5_1,
57_small,"exp (67, 9-3.JPG)",right,n,right,C,386,incongruent,6,9_3,
57_small,"exp (1, 1-2.JPG)",left,b,left,C,387,congruent,1,1_2,small pairs
57_small,"exp (7, 1-8.JPG)",left,b,left,C,388,congruent,7,1_8,
57_small,"exp (11, 2-4.JPG)",left,b,left,C,388,congruent,2,2_4,small pairs
57_small,"exp (1, 1-2.JPG)",left,b,left,C,390,congruent,1,1_2,small pairs
57_small,"exp (13, 2-6.JPG)",left,b,left,C,390,congruent,4,2_6,
57_small,"exp (8, 1-9.JPG)",left,b,left,C,393,congruent,8,1_9,
57_small,"exp (6, 1-7.JPG)",left,b,left,C,394,congruent,6,1_7,
57_small,"exp (34, 5-2.JPG)",right,n,right,C,394,incongruent,3,5_2,
57_small,"exp (6, 1-7.JPG)",left,b,left,C,394,congruent,6,1_7,
57_small,"exp (41, 6-1.JPG)",right,n,right,C,395,incongruent,5,6_1,
57_small,"exp (33, 5-1.JPG)",right,n,right,C,395,incongruent,4,5_1,
57_small,"exp (8, 1-9.JPG)",left,b,left,C,396,congruent,8,1_9,
57_small,"exp (15, 2-8.JPG)",left,b,left,C,398,congruent,6,2_8,
57_small,"exp (17, 3-1.JPG)",right,n,right,C,400,incongruent,2,3_1,small pairs
57_small,"exp (9, 2-1.JPG)",right,n,right,C,400,incongruent,1,2_1,small pairs
57_small,"exp (32, 4-9.JPG)",left,b,left,C,401,congruent,5,4_9,
57_small,"exp (7, 1-8.JPG)",left,b,left,C,402,congruent,7,1_8,
57_small,"exp (23, 3-8.JPG)",left,b,left,C,402,congruent,5,3_8,
57_small,"exp (42, 6-2.JPG)",right,n,right,C,402,incongruent,4,6_2,
57_small,"exp (25, 4-1.JPG)",right,n,right,C,402,incongruent,3,4_1,small pairs
57_small,"exp (57, 8-1.JPG)",right,n,right,C,403,incongruent,7,8_1,
57_small,"exp (49, 7-1.JPG)",right,n,right,C,404,incongruent,6,7_1,
57_small,"exp (2, 1-3.JPG)",left,b,left,C,407,congruent,2,1_3,small pairs
57_small,"exp (3, 1-4.JPG)",left,b,left,C,409,congruent,3,1_4,small pairs
57_small,"exp (42, 6-2.JPG)",right,n,right,C,410,incongruent,4,6_2,
57_small,"exp (11, 2-4.JPG)",left,b,left,C,410,congruent,2,2_4,small pairs
57_small,"exp (25, 4-1.JPG)",right,n,right,C,410,incongruent,3,4_1,small pairs
57_small,"exp (33, 5-1.JPG)",right,n,right,C,410,incongruent,4,5_1,
57_small,"exp (13, 2-6.JPG)",left,b,left,C,412,congruent,4,2_6,
57_small,"exp (3, 1-4.JPG)",left,b,left,C,412,congruent,3,1_4,small pairs
57_small,"exp (25, 4-1.JPG)",right,n,right,C,414,incongruent,3,4_1,small pairs
57_small,"exp (7, 1-8.JPG)",left,b,left,C,416,congruent,7,1_8,
57_small,"exp (43, 6-3.JPG)",right,n,right,C,416,incongruent,3,6_3,
57_small,"exp (68, 9-4.JPG)",right,n,right,C,418,incongruent,5,9_4,
57_small,"exp (57, 8-1.JPG)",right,n,right,C,418,incongruent,7,8_1,
57_small,"exp (7, 1-8.JPG)",left,b,left,C,419,congruent,7,1_8,
57_small,"exp (16, 2-9.JPG)",left,b,left,C,420,congruent,7,2_9,
57_small,"exp (34, 5-2.JPG)",right,n,right,C,420,incongruent,3,5_2,
57_small,"exp (49, 7-1.JPG)",right,n,right,C,420,incongruent,6,7_1,
57_small,"exp (35, 5-3.JPG)",right,n,right,C,420,incongruent,2,5_3,
57_small,"exp (23, 3-8.JPG)",left,b,left,C,422,congruent,5,3_8,
57_small,"exp (58, 8-2.JPG)",right,n,right,C,422,incongruent,6,8_2,
57_small,"exp (26, 4-2.JPG)",right,n,right,C,424,incongruent,2,4_2,small pairs
57_small,"exp (66, 9-2.JPG)",right,n,right,C,424,incongruent,7,9_2,
57_small,"exp (42, 6-2.JPG)",right,n,right,C,424,incongruent,4,6_2,
57_small,"exp (4, 1-5.JPG)",left,b,left,C,425,congruent,4,1_5,
57_small,"exp (2, 1-3.JPG)",left,b,left,C,425,congruent,2,1_3,small pairs
57_small,"exp (26, 4-2.JPG)",right,n,right,C,426,incongruent,2,4_2,small pairs
57_small,"exp (20, 3-5.JPG)",left,b,left,C,428,congruent,2,3_5,
57_small,"exp (45, 6-5.JPG)",right,n,right,C,430,incongruent,1,6_5,
57_small,"exp (6, 1-7.JPG)",left,b,left,C,431,congruent,6,1_7,
57_small,"exp (31, 4-8.JPG)",left,b,left,C,432,congruent,4,4_8,
57_small,"exp (12, 2-5.JPG)",left,b,left,C,433,congruent,3,2_5,
57_small,"exp (15, 2-8.JPG)",left,b,left,C,433,congruent,6,2_8,
57_small,"exp (3, 1-4.JPG)",left,b,left,C,434,congruent,3,1_4,small pairs
57_small,"exp (35, 5-3.JPG)",right,n,right,C,434,incongruent,2,5_3,
57_small,"exp (19, 3-4.JPG)",left,b,left,C,434,congruent,1,3_4,small pairs
57_small,"exp (65, 9-1.JPG)",right,n,right,C,436,incongruent,8,9_1,
57_small,"exp (28, 4-5.JPG)",left,b,left,C,436,congruent,1,4_5,
57_small,"exp (9, 2-1.JPG)",right,n,right,C,437,incongruent,1,2_1,small pairs
57_small,"exp (9, 2-1.JPG)",right,n,right,C,437,incongruent,1,2_1,small pairs
57_small,"exp (24, 3-9.JPG)",left,b,left,C,437,congruent,6,3_9,
57_small,"exp (33, 5-1.JPG)",right,n,right,C,438,incongruent,4,5_1,
57_small,"exp (28, 4-5.JPG)",left,b,left,C,440,congruent,1,4_5,
57_small,"exp (12, 2-5.JPG)",left,b,left,C,440,congruent,3,2_5,
57_small,"exp (3, 1-4.JPG)",left,b,left,C,440,congruent,3,1_4,small pairs
57_small,"exp (58, 8-2.JPG)",right,n,right,C,441,incongruent,6,8_2,
57_small,"exp (51, 7-3.JPG)",right,n,right,C,441,incongruent,4,7_3,
